unique_internal_model_code,age_range,filtration_efficiency_percent,breathability_pascals,width_mm,height_mm,filter_type,style,strap_type,color,where_to_buy_url_1,where_to_buy_url_2,where_to_buy_url_3,image_url,filtration_efficiency_source,filtration_efficiency_notes,breathability_pascals_source,breathability_pascals_notes,uimc_lower,initial_cost_us_dollars,depth_mm,mass_grams
Bona Fide Masks Powecom KN95 kids,,99.3,130.0,,,KN95,Bifold,Earloop,,https://bonafidemasks.com/powecom-kn95-sm-respirator-mask-10-masks-per-pack/,,,//www.armbrustusa.com/cdn/shop/articles/KN95-SM_3D_image__32969.1627926662.jpg?v=1641770218,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),bona fide masks powecom kn95 kids,,,
Boncare KN95 Face Mask,,99.65,122.0,,,KN95,Bifold,Earloop,Black,https://www.amazon.com/KN95-5-Layer-Efficiency%E2%89%A595-Breathable-Comfortableable/dp/B08V59764B/ref=cm_cr_srp_d_product_top?ie=UTF8,,,//www.armbrustusa.com/cdn/shop/articles/569_boncare_up.jpg?v=1676396556,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),boncare kn95 face mask,,,
BOTN Kids Mask,5-9,99.3,135.0,160.0,69.0,KF94,Boat,,,https://behealthyusa.net/products/botn-kf94-small-white,https://kollecteusa.com/collections/botn/products/tia-botn-kf94-kids,,https://m.media-amazon.com/images/I/71BjC-CqwYL._AC_SX679_.jpg,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",botn kids mask,,,
BreatheTeq - Small,8-12,99.3,89.0,171.0,80.0,KN95,Boat,,,https://breatheteq.com/,,,https://breatheteq.com/cdn/shop/products/Ash_Grey_CoffeeShop.jpg?v=1668367840,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",breatheteq - small,,,
Breatheze KN95 Face Mask,,96.63,155.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/Breatheze-KN95-Disposable-Breathable-High-Filtration/dp/B093141TZ8/ref=zg_bs_2257619011_14?_encoding=UTF8&psc=1&refRID=F1TZRZJ0W1FX743BAZH6,,,//www.armbrustusa.com/cdn/shop/articles/571_breatheze_up.jpg?v=1641777082,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),breatheze kn95 face mask,,,
BUGGYBOP KN95 Disposable Face Mask,,95.16,197.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/Disposable-Individually-Protection-Breathable-Comfortable/dp/B08P4DS163/ref=sr_1_55?crid=1JA0V6VIU1FIC&dchild=1&keywords=kn95+face+masks&qid=1633726062&sprefix=kn95+face%2Caps%2C233&sr=8-55,,,//www.armbrustusa.com/cdn/shop/articles/595_buggybop_up.jpg?v=1675895294,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),buggybop kn95 disposable face mask,,,
Chengde Kids KN95 Face Masks,,98.75,170.0,,,KN95,Bifold,Earloop,Multicolored,https://www.amazon.com/KN95-Mask-Efficiency%E2%89%A595-PM2-5-Pattern-3/dp/B08W4214PS/ref=sr_1_55?crid=302OFE7X4V022&dchild=1&keywords=kids+kn95+mask&qid=1633728214&sprefix=kids+kn%2Caps%2C222&sr=8-55,,,//www.armbrustusa.com/cdn/shop/articles/622_ranto_up.jpg?v=1676396592,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),chengde kids kn95 face masks,,,
Clean & Science Klaring KF94 Face Mask,,99.26,164.3,,,KF94,Boat,Earloop,White,https://www.amazon.com/Korea-included-Individual-Packaged-KLARING/dp/B08KRS7SM9/ref=sr_1_56?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-56,,,//www.armbrustusa.com/cdn/shop/articles/656_klaring_up.jpg?v=1676402480,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),clean & science klaring kf94 face mask,,,
Clean Top White Kids KF94 Face Mask,,97.77,160.0,,,KF94,Boat,Earloop,White,https://www.amazon.com/Premium-Disposable-Protective-Covering-Individual/dp/B08LVWHPHL/ref=sr_1_32?crid=302OFE7X4V022&dchild=1&keywords=kids+kn95+mask&qid=1633728055&sprefix=kids+kn%2Caps%2C222&sr=8-32,,,//www.armbrustusa.com/cdn/shop/articles/608_flexmon_clean_top_up.jpg?v=1676317149,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),clean top white kids kf94 face mask,,,
Cleantop Evergreen KF94 Small - White/Black,7-12,99.6,122.0,170.0,67.0,KF94,Boat,,,https://kollecteusa.com/collections/evergreen/products/kf94-cleantop-small-adjustable,,,https://kollecteusa.com/cdn/shop/products/MainImage_ea9e27e5-322d-456d-a8a5-20e9fe59079c_1494x1494.jpg?v=1629003395,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",cleantop evergreen kf94 small - white/black,,,
Coast - KN95 CE Certified Face Mask,,99.14,100.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/COAST-KN95-Face-Individually-Packaged/dp/B08F2XXNCZ/ref=sr_1_5?crid=3SD51U50TFBPB&dchild=1&keywords=coast+kn95+face+mask&qid=1630090269&sprefix=Coast+Kn%2Caps%2C186&sr=8-5,,,//www.armbrustusa.com/cdn/shop/articles/530_-_Coast_-_KN95_copy.jpg?v=1642047110,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),coast - kn95 ce certified face mask,,,
"CocoMong XXS Toddler Mask
[Note this is almost identical in size to U&I Bio, but has printing]",2-5,98.3,134.0,148.0,55.0,KF80,Boat,,,https://kollecteusa.com/collections/cocofarm-megaxxl,,,https://m.media-amazon.com/images/I/71d1Rf482CL._AC_SX679_.jpg,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.","cocomong xxs toddler mask
[note this is almost identical in size to u&i bio, but has printing]",,,
COVAFLU - KN95 Fold Flat Face Masks,,99.14,114.56,,,KN95,Bifold,Earloop,White,https://www.amazon.com/gp/product/B089P1RC2K/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/528-Covaflu-KN95_copy_6905f392-7637-4650-bd19-bf80ec93666b.jpg?v=1676396232,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),covaflu - kn95 fold flat face masks,,,
Covaflu Face Mask,,99.8,150.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/COVAFLU-KN95-Disposable-Fold-Masks/dp/B089P1RC2K/ref=sr_1_23?dchild=1&keywords=ffp2+mask&qid=1633724281&sr=8-23,,,//www.armbrustusa.com/cdn/shop/articles/528-Covaflu-KN95_copy.jpg?v=1676401688,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),covaflu face mask,,,
Daddy's Choice Purism - Protective KN95 Face Mask,,99.88,223.33,,,KN95,Bifold,Earloop,White,https://www.amazon.com/gp/product/B085BNBZDR/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/532---Purism---KN95-_1_-_heic.jpg?v=1675895531,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),daddy's choice purism - protective kn95 face mask,,,
Demetech N95 Respirator - Fold Style,,99.78,139.14,,,N95,Bifold,Headstrap,White,https://www.armbrustusa.com/products/demetech-n95-respirator-mask-fold-style-5-pack?variant=39511439507589,,,//www.armbrustusa.com/cdn/shop/articles/DemeTech2.jpg?v=1641829835,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),demetech n95 respirator - fold style,,,
Demetech N95 Respirator DT-N95-CH - Cup Style,,99.12,240.7,,,N95,Cup,Headstrap,White,https://www.armbrustusa.com/products/demetech-n95-respirator-mask-cup-style-20-pack?variant=39511439212677,,,//www.armbrustusa.com/cdn/shop/articles/DemetechCup.png?v=1641829876,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),demetech n95 respirator dt-n95-ch - cup style,,,
Dobu 500 NIOSH N95,10?-14?,98.9,98.0,131.0,111.0,N95,Cup,,,https://kollecteusa.com/collections/dobu-n95/products/n95-dobu-500,,,https://m.media-amazon.com/images/I/5178EkU0oNL._AC_CR0%2C0%2C0%2C0_SX960_SY720_.jpg,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",dobu 500 niosh n95,,,
Dolce Calma KN95 Face Mask,,99.68,191.0,,,KN95,Bifold,Earloop,Black,https://www.amazon.com/Breathable-5-Layer-Individually-Wrapped-GB2626-2019/dp/B08NH1TTCH/ref=pd_di_sccai_1/146-9668035-4140460?pd_rd_w=5JSXU&pf_rd_p=c9443270-b914-4430-a90b-72e3e7e784e0&pf_rd_r=8AA99ETFW5FDBC5690R2&pd_rd_r=8e0b9e49-6ff8-4a08-87b1-bf330b8c0f04&pd_rd_wg=DU6nZ&pd_rd_i=B08NH1TTCH&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/Dolce.jpg?v=1675895378,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),dolce calma kn95 face mask,,,
Dr. Puri - Small,6-9,99.4,138.0,155.0,68.0,KF94,Boat,,,https://kmact.com/products/dr-puri-kf94-mask-for-adult,,,https://m.media-amazon.com/images/I/61gNyHRaJ-L._AC_SX679_.jpg,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",dr. puri - small,,,
Dr. Puri Stylish Black Micro-Dust Protection Mask,,97.38,91.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/gp/product/B08N69ZM6G/ref=ppx_yo_dt_b_asin_title_o08_s07?ie=UTF8&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/DrPuri.jpg?v=1676402461,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),dr. puri stylish black micro-dust protection mask,,,
Dr. Smile K KF94 Disposable Face Masks,,99.89,141.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/Dr-Smile-Disposable-Unisex-Certified/dp/B08Y99G6CB/ref=sr_1_8?crid=3T8ZR69WR06J4&dchild=1&keywords=dr.+smile+kf94+masks&qid=1633723529&sprefix=dr.+smile+kf%2Caps%2C212&sr=8-8,,,//www.armbrustusa.com/cdn/shop/articles/DrSmileK.jpg?v=1676402491,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),dr. smile k kf94 disposable face masks,,,
EHH KF94 Mask,,99.49,194.0,,,KF94,Boat,Earloop,Multicolored,https://www.amazon.com/Individually-Disposable-Colorful-Breathable-Adjustable/dp/B09BJ1TPYB/ref=sr_1_50?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-50,,,//www.armbrustusa.com/cdn/shop/articles/655_ehh_up.jpg?v=1676317172,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),ehh kf94 mask,,,
ETIQA Airlight Round Kids,8-12,98.8,115.0,85.0,128.0,Non-Rated,Bifold,,,https://kollecteusa.com/collections/etiqa,,,https://m.media-amazon.com/images/I/31petzbetkL._AC_.jpg,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",etiqa airlight round kids,,,
ETIQA Basic Black - Small,8-12,98.9,217.0,88.0,128.0,KF94,Bifold,,,https://behealthyusa.net/collections/etiqa-brand,https://kollecteusa.com/collections/etiqa,,https://behealthyusa.net/cdn/shop/products/1703328368_ab34d4d6-e855-4b30-8340-d6e3df75ba10.jpg?v=1613074520,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",etiqa basic black - small,,,
Evolve Together mount fuji kids white KN95 masks,,98.09,231.0,,,KN95,Bifold,Earloop,White,https://evolvetogether.com/collections/kids-size-face-masks/products/mount-fuji-5-kids-white-kn95-masks,,,//www.armbrustusa.com/cdn/shop/articles/748-EvolveTogether-Surgical-_2_-.HEIC_23fb4dd7-94ee-4612-a8c1-08510505abb5.jpg?v=1676317892,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),evolve together mount fuji kids white kn95 masks,,,
Flexmon / You & I KF94 Certified Kids Face Mask,,99.6,113.0,,,KF94,Boat,Earloop,White,https://www.amazon.com/White-Certified-4-Layers-Premium-Filters/dp/B096HBXLQW/ref=sr_1_51?crid=302OFE7X4V022&dchild=1&keywords=kids+kn95+mask&qid=1633728214&sprefix=kids+kn%2Caps%2C222&sr=8-51,,,//www.armbrustusa.com/cdn/shop/articles/625_flexmon_2.jpg?v=1675894461,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),flexmon / you & i kf94 certified kids face mask,,,
Gerson Model 3230 N95 Respirator,,96.88,46.8,,,N95,Duckbill,Headstrap,White,https://www.armbrustusa.com/products/gerson-3230-n95-respirator-duckbill,,,//www.armbrustusa.com/cdn/shop/articles/665_gerson_copy.jpg?v=1676401547,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),gerson model 3230 n95 respirator,,,
Gerson N95 Model 3230+,,96.89,55.6,,,N95,Duckbill,Headstrap,White,https://www.armbrustusa.com/products/gerson-3230-n95-respirator-duckbill?variant=39583817040005,,,//www.armbrustusa.com/cdn/shop/articles/664_gerson_up.jpg?v=1676403553,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),gerson n95 model 3230+,,,
Good Comfort KN95 Face Mask,,99.69,171.0,,,KN95,Bifold,Earloop,Black,https://www.amazon.com/Comfort-Disposable-Folding-Efficiency-Comfortable/dp/B08TX5GWN9/ref=sr_1_46?crid=3USYR0ZAG3U0P&dchild=1&keywords=well+before+kn95+masks&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=8-46,,,//www.armbrustusa.com/cdn/shop/articles/588_good_mask_co_up.jpg?v=1675895632,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),good comfort kn95 face mask,,,
Good Manner KF94 FDA,,99.64,108.8,,,KF94,Boat,Earloop,White,https://www.amazon.com/Count-Manner-Protective-Safety-White/dp/B08MDRR7JJ/ref=sr_1_8?crid=3R6OT5W5LENSO&dchild=1&keywords=good+manner+kf94+mask&qid=1633106371&sprefix=good+manner+%2Caps%2C183&sr=8-8,,,//www.armbrustusa.com/cdn/shop/articles/Goodmanner_Whtie.jpg?v=1642034367,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),good manner kf94 fda,,,
Good Manner KIDS KF94 Face Mask,,99.67,183.0,,,KF94,Boat,Earloop,White,https://www.amazon.com/Good-Manner-Protective-Individually-Comfortable/dp/B08TVCQD1P/ref=sr_1_51?crid=302OFE7X4V022&dchild=1&keywords=kids+kn95+mask&qid=1633728055&sprefix=kids+kn%2Caps%2C222&sr=8-51,,,//www.armbrustusa.com/cdn/shop/articles/619_good_manner_up.jpg?v=1642034318,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),good manner kids kf94 face mask,,,
"GoodDay Happy Life - Youth Size White/Black
GoodDay Happy Life - Size Small Cartoon Package[SAME MASK]",7-12,99.9,95.0,184.0,73.0,KF94,Boat,,,https://kollecteusa.com/collections/happylife/products/happylife-%EA%B5%BF%EB%8D%B0%EC%9D%B4kf94-%EC%98%81%EB%AC%B8%ED%9D%B0%EC%83%89-50%EB%A7%A4-%EA%B2%80%EC%A0%9550%EB%A7%A4,https://kollecteusa.com/collections/happylife/products/%ED%95%B4%ED%94%BC%EB%9D%BC%EC%9D%B4%ED%94%84-%EC%8B%A0%EC%A0%9C%ED%92%88-%EA%B5%BF%EB%8D%B0%EC%9D%B4-%EB%B0%A9%EC%97%AD-%EB%A7%88%EC%8A%A4%ED%81%AC-%EC%86%8C%ED%98%95-%EA%B2%80%EC%A0%95,https://www.everydayemall.com/collections/ppe/products/happylife-cartoon-design-kf94-mask-for-kids,https://kollecteusa.com/cdn/shop/products/MainimageBlackMask_GreenPackage_1494x1494.jpg?v=1627764165,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.","goodday happy life - youth size white/black
goodday happy life - size small cartoon package[same mask]",,,
GRZ FFP2 Face Mask,,99.65,156.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/White-Protection-Against-Safety-Pollution/dp/B08PP68YPP/ref=sr_1_9?dchild=1&keywords=ffp2+mask&qid=1633724281&sr=8-9,,,//www.armbrustusa.com/cdn/shop/articles/589_grz_up.jpg?v=1675894479,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),grz ffp2 face mask,,,
H.A.C PLUS KF94 Face Mask,,99.61,178.0,,,KF94,Boat,Earloop,White,https://www.amazon.com/Protective-H-C-PLUS-DEVELOPMENT/dp/B08KS1997G/ref=sr_1_52?crid=3USYR0ZAG3U0P&dchild=1&keywords=well+before+kn95+masks&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=8-52,,,//www.armbrustusa.com/cdn/shop/articles/591_hac_plus_up.jpg?v=1676402470,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),h.a.c plus kf94 face mask,,,
HALIDODO - KN95 Protective Cup Dust Masks,,99.3,142.58,,,KN95,Bifold,Earloop,White,https://www.amazon.com/gp/product/B08NWZH248/ref=ppx_od_dt_b_asin_title_s05?ie=UTF8&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/527-_Halidodo_-_KN95_1.jpg?v=1675894490,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),halidodo - kn95 protective cup dust masks,,,
HANMAUM 3D Face Safety Mask,,99.79,210.0,,,KF94,Boat,Earloop,White,https://www.amazon.com/Certified-HANMAUM-Safety-Protection-Efficiency/dp/B08W43XD5H/ref=sr_1_3_sspa?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-3-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExN0M3WDRXVDQ2UzhQJmVuY3J5cHRlZElkPUEwNzI0MTY3V0RPU0lMOEpEVEwzJmVuY3J5cHRlZEFkSWQ9QTA1MTMzMjIzQzlRTlNYSk4zSU1SJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,,,//www.armbrustusa.com/cdn/shop/articles/636_HANMAUM_up_54b28d37-e9a0-423c-a396-22f95e2b7bed.jpg?v=1676402933,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),hanmaum 3d face safety mask,,,
